index,adm1_psgc,adm2_psgc,adm1_en,adm2_en,custom_TDP1,custom_TDP2
0,100000000,102800000,Ilocos Region (Region I),Ilocos Norte,North Luzon,North Luzon District 1
1,100000000,102900000,Ilocos Region (Region I),Ilocos Sur,North Luzon,North Luzon District 1
2,100000000,103300000,Ilocos Region (Region I),La Union,North Luzon,North Luzon District 1
3,100000000,105500000,Ilocos Region (Region I),Pangasinan,North Luzon,North Luzon District 3
4,200000000,200900000,Cagayan Valley (Region II),Batanes,North Luzon,North Luzon District 4
5,200000000,201500000,Cagayan Valley (Region II),Cagayan,North Luzon,North Luzon District 4
6,200000000,203100000,Cagayan Valley (Region II),Isabela,North Luzon,North Luzon District 4
7,200000000,205000000,Cagayan Valley (Region II),Nueva Vizcaya,North Luzon,North Luzon District 4
8,200000000,205700000,Cagayan Valley (Region II),Quirino,North Luzon,North Luzon District 4
9,300000000,300800000,Central Luzon (Region III),Bataan,North Luzon,North Luzon District 5
10,300000000,301400000,Central Luzon (Region III),Bulacan,MERALCO,MERALCO North
11,300000000,304900000,Central Luzon (Region III),Nueva Ecija,North Luzon,North Luzon District 6
12,300000000,305400000,Central Luzon (Region III),Pampanga,North Luzon,North Luzon District 6
13,300000000,306900000,Central Luzon (Region III),Tarlac,North Luzon,North Luzon District 6
14,300000000,307100000,Central Luzon (Region III),Zambales,North Luzon,North Luzon District 5
15,300000000,307700000,Central Luzon (Region III),Aurora,North Luzon,North Luzon District 6
16,400000000,401000000,Calabarzon (Region IV-A),Batangas,South Luzon,South Luzon District 1
17,400000000,402100000,Calabarzon (Region IV-A),Cavite,South Luzon,South Luzon District 1
18,400000000,403400000,Calabarzon (Region IV-A),Laguna,South Luzon,South Luzon District 2
19,400000000,405600000,Calabarzon (Region IV-A),Quezon,South Luzon,South Luzon District 2
20,400000000,405800000,Calabarzon (Region IV-A),Rizal,MERALCO,MERALCO South
21,500000000,500500000,Bicol Region (Region V),Albay,South Luzon,South Luzon District 3
22,500000000,501600000,Bicol Region (Region V),Camarines Norte,South Luzon,South Luzon District 3
23,500000000,501700000,Bicol Region (Region V),Camarines Sur,South Luzon,South Luzon District 3
24,500000000,502000000,Bicol Region (Region V),Catanduanes,South Luzon,South Luzon District 3
25,500000000,504100000,Bicol Region (Region V),Masbate,Visayas,Visayas District 1
26,500000000,506200000,Bicol Region (Region V),Sorsogon,South Luzon,South Luzon District 3
27,600000000,600400000,Western Visayas (Region VI),Aklan,Visayas,Visayas District 4
28,600000000,600600000,Western Visayas (Region VI),Antique,Visayas,Visayas District 4
29,600000000,601900000,Western Visayas (Region VI),Capiz,Visayas,Visayas District 4
30,600000000,603000000,Western Visayas (Region VI),Iloilo,Visayas,Visayas District 4
31,600000000,604500000,Western Visayas (Region VI),Negros Occidental,Visayas,Visayas District 3
32,600000000,607900000,Western Visayas (Region VI),Guimaras,Visayas,Visayas District 4
33,700000000,701200000,Central Visayas (Region VII),Bohol,Visayas,Visayas District 2b
34,700000000,702200000,Central Visayas (Region VII),Cebu,Visayas,Visayas District 2a
35,700000000,704600000,Central Visayas (Region VII),Negros Oriental,Visayas,Visayas District 3
36,700000000,706100000,Central Visayas (Region VII),Siquijor,Visayas,Visayas District 3
37,800000000,802600000,Eastern Visayas (Region VIII),Eastern Samar,Visayas,Visayas District 1
38,800000000,803700000,Eastern Visayas (Region VIII),Leyte,Visayas,Visayas District 1
39,800000000,804800000,Eastern Visayas (Region VIII),Northern Samar,Visayas,Visayas District 1
