Area,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080
MERALCO NCR,5736,5929,6175,7494,9084,11018,13259.5,15826.75,18710.625,21915.6875,25439.65625,29283.67188,33447.16406,37930.41797
MERALCO North,550,568,591,723,878,1065,1279.5,1523.75,1796.625,2098.6875,2429.65625,2789.671875,3178.664063,3596.667969
MERALCO South,2604,2692,2804,3402,4124,5002,6020,7186,8496,9952,11553,13299.5,15191.25,17228.375
North Luzon District 1,251,272,294,497,763,1104,1514,1996,2548.5,3172.25,3866.875,4632.5625,5469.21875,6376.890625
North Luzon District 2,144,156,169,273,409,587,802,1056.5,1349.25,1680.875,2051.0625,2459.96875,2907.515625,3393.742188
North Luzon District 3,351,392,429,710,1165,1692,2342,3089.5,3947.25,4908.875,5977.5625,7151.71875,8432.140625,9818.429688
North Luzon District 4,354,383,421,695,1041,1537,2144,2881.5,3739.75,4723.625,5830.6875,7062.15625,8417.421875,9896.789063
North Luzon District 5,652,732,806,1303,2075,3148,4509,6164.5,8111.25,10350.875,12882.5625,15706.71875,18823.14063,22231.92969
North Luzon District 6,1453,1643,1813,2904,4676,6875,9628,12871.5,16637.25,20909.375,25695.8125,30992.59375,36801.70313,43122.14844
South Luzon District 1,507,566,621,1025,1366,1741,2101.5,2471.75,2839.625,3211.1875,3583.40625,3957.796875,4333.601563,4711.199219
South Luzon District 2,140,155,167,250,350,503,691,923,1194.5,1507.75,1861.625,2256.6875,2692.65625,3169.671875
South Luzon District 3,381,430,479,795,1207,1829,2604,3560.5,4684.25,5982.375,7451.3125,9092.84375,10906.07813,12891.46094
Visayas District 1,469,504,542,771,1094,1538,2089.5,2755.25,3531.875,4421.0625,5421.96875,6535.015625,7759.992188,9097.003906
Visayas District 2a,1283,1378,1483,2108,2993,4208,5718,7540.5,9666.75,12101.125,14841.4375,17888.78125,21242.60938,24903.19531
Visayas District 2b,115,123,133,189,268,377,512.5,676.25,867.375,1086.3125,1332.84375,1607.078125,1908.960938,2238.519531
Visayas District 3,395,424,456,649,921,1295,1759.5,2320.25,2974.375,3723.3125,4566.34375,5503.828125,6535.585938,7661.707031
Visayas District 4,430,462,497,706,1003,1410,1916,2526.5,3238.75,4054.125,4971.9375,5992.53125,7115.734375,8341.632813
Mindanao District 1,249,267,290,475,751,1140,1631,2229.5,2932.75,3742.125,4656.9375,5677.53125,6803.734375,8035.632813
Mindanao District 2,142,146,154,226,324,457,620.5,816.75,1044.625,1304.6875,1596.65625,1920.671875,2276.664063,2664.667969
Mindanao District 3,601,625,653,997,1413,1967,2626,3406.5,4300.25,5311.375,6437.8125,7680.59375,9039.203125,10513.89844
Mindanao District 4,159,169,183,298,470,709,1010,1375.5,1804.25,2296.875,2853.0625,3472.96875,4156.515625,4903.742188
Mindanao District 5,683,743,844,1226,1864,2748,3883,5266.5,6899.75,8782.125,10913.9375,13295.03125,15925.48438,18805.25781
Mindanao District 6,561,634,664,916,1267,1730,2298.5,2975.75,3760.125,4652.4375,5652.28125,6759.859375,7975.070313,9297.964844
Philippines,18210,19393,20668,28632,39506,53680,70959,91440.5,115075.75,141889.125,171868.4375,205019.7813,241340.1094,280830.9453
North Luzon,3205,3578,3932,6382,10129,14943,20939,28059.5,36333.25,45745.875,56304.5625,68005.71875,80851.14063,94839.92969
South Luzon,1028,1151,1267,2070,2923,4073,5396.5,6955.25,8718.375,10701.3125,12896.34375,15307.32813,17932.33594,20772.33203
Visayas,2692,2891,3111,4423,6279,8828,11995.5,15818.75,20279.125,25385.9375,31134.53125,37527.23438,44562.88281,52242.05859
Mindanao,2395,2584,2788,4138,6089,8751,12069,16070.5,20741.75,26089.625,32110.6875,38806.65625,46176.67188,54221.16406
MERALCO,8890,9189,9570,11619,14086,17085,20559,24536.5,29003.25,33966.375,39422.3125,45372.84375,51817.07813,58755.46094
