,MERALCO NCR_Solar,MERALCO NCR_Wind,MERALCO North_Solar,MERALCO North_Wind,MERALCO South_Solar,MERALCO South_Wind,Mindanao District 1_Solar,Mindanao District 1_Wind,Mindanao District 2_Solar,Mindanao District 2_Wind,Mindanao District 3_Solar,Mindanao District 3_Wind,Mindanao District 4_Solar,Mindanao District 4_Wind,Mindanao District 5_Solar,Mindanao District 5_Wind,Mindanao District 6_Solar,Mindanao District 6_Wind,North Luzon District 1_Solar,North Luzon District 1_Wind,North Luzon District 2_Solar,North Luzon District 2_Wind,North Luzon District 3_Solar,North Luzon District 3_Wind,North Luzon District 4_Solar,North Luzon District 4_Wind,North Luzon District 5_Solar,North Luzon District 5_Wind,North Luzon District 6_Solar,North Luzon District 6_Wind,South Luzon District 1_Solar,South Luzon District 1_Wind,South Luzon District 2_Solar,South Luzon District 2_Wind,South Luzon District 3_Solar,South Luzon District 3_Wind,Visayas District 1_Solar,Visayas District 1_Wind,Visayas District 2a_Solar,Visayas District 2a_Wind,Visayas District 2b_Solar,Visayas District 2b_Wind,Visayas District 3_Solar,Visayas District 3_Wind,Visayas District 4_Solar,Visayas District 4_Wind,MERALCO_Solar,MERALCO_Wind,Mindanao_Solar,Mindanao_Wind,North Luzon_Solar,North Luzon_Wind,South Luzon_Solar,South Luzon_Wind,Visayas_Solar,Visayas_Wind
1/1/23 0:00,0,0.529,0,0.529,0,0.529,0,0.62,0,0.435,0,0.341,0,0.14,0,0.183,0,0.42,0,0.739,0,0.21,0,0.048,0,0.336,0,0.432,0,0.145,0,0.471,0,0.479,0,0.635,0,0.54,0,0.588,0,0.454,0,0.551,0,0.604,0,0.529,0,0.3565,0,0.318333333,0,0.528333333,0,0.5474
1/1/23 1:00,0,0.611,0,0.611,0,0.611,0,0.571,0,0.423,0,0.331,0,0.138,0,0.184,0,0.364,0,0.77,0,0.257,0,0.039,0,0.388,0,0.447,0,0.141,0,0.445,0,0.526,0,0.72,0,0.552,0,0.583,0,0.449,0,0.573,0,0.633,0,0.611,0,0.335166667,0,0.340333333,0,0.563666667,0,0.558
1/1/23 2:00,0,0.691,0,0.691,0,0.691,0,0.535,0,0.416,0,0.341,0,0.136,0,0.17,0,0.305,0,0.808,0,0.278,0,0.03,0,0.426,0,0.476,0,0.152,0,0.516,0,0.604,0,0.732,0,0.579,0,0.575,0,0.467,0,0.598,0,0.619,0,0.691,0,0.317166667,0,0.361666667,0,0.617333333,0,0.5676
1/1/23 3:00,0,0.693,0,0.693,0,0.693,0,0.511,0,0.429,0,0.367,0,0.151,0,0.159,0,0.272,0,0.829,0,0.291,0,0.03,0,0.452,0,0.513,0,0.158,0,0.586,0,0.634,0,0.724,0,0.639,0,0.584,0,0.504,0,0.577,0,0.613,0,0.693,0,0.314833333,0,0.378833333,0,0.648,0,0.5834
1/1/23 4:00,0,0.68,0,0.68,0,0.68,0,0.484,0,0.446,0,0.407,0,0.155,0,0.149,0,0.25,0,0.836,0,0.309,0,0.057,0,0.506,0,0.523,0,0.242,0,0.615,0,0.63,0,0.74,0,0.692,0,0.616,0,0.525,0,0.622,0,0.627,0,0.68,0,0.315166667,0,0.412166667,0,0.661666667,0,0.6164
1/1/23 5:00,0,0.678,0,0.678,0,0.678,0,0.43,0,0.442,0,0.42,0,0.144,0,0.144,0,0.22,0,0.813,0,0.274,0,0.043,0,0.457,0,0.504,0,0.256,0,0.626,0,0.625,0,0.772,0,0.701,0,0.619,0,0.539,0,0.637,0,0.654,0,0.678,0,0.3,0,0.391166667,0,0.674333333,0,0.63
1/1/23 6:00,0.026,0.661,0.026,0.661,0.026,0.661,0.143,0.317,0.146,0.396,0.125,0.369,0.126,0.121,0.123,0.124,0.105,0.181,0.013,0.78,0.018,0.227,0.02,0.043,0.013,0.386,0.024,0.476,0.024,0.257,0.029,0.606,0.028,0.615,0.068,0.8,0.078,0.707,0.126,0.602,0.104,0.527,0.086,0.656,0.067,0.684,0.026,0.661,0.128,0.251333333,0.018666667,0.3615,0.041666667,0.673666667,0.0922,0.6352
1/1/23 7:00,0.218,0.627,0.218,0.627,0.218,0.627,0.353,0.248,0.375,0.383,0.332,0.41,0.309,0.127,0.318,0.118,0.309,0.376,0.207,0.729,0.22,0.196,0.234,0.041,0.171,0.294,0.246,0.463,0.218,0.243,0.247,0.59,0.239,0.592,0.278,0.845,0.271,0.703,0.332,0.63,0.326,0.595,0.276,0.727,0.262,0.72,0.218,0.627,0.332666667,0.277,0.216,0.327666667,0.254666667,0.675666667,0.2934,0.675
1/1/23 8:00,0.103,0.282,0.103,0.282,0.103,0.282,0.299,0.016,0.349,0.194,0.283,0.281,0.354,0.291,0.158,0.112,0.185,0.143,0.153,0.669,0.111,0.192,0.103,0.063,0.187,0.296,0.112,0.294,0.101,0.155,0.179,0.459,0.201,0.377,0.431,0.821,0.492,0.644,0.396,0.666,0.429,0.739,0.319,0.753,0.377,0.706,0.103,0.282,0.271333333,0.172833333,0.127833333,0.278166667,0.270333333,0.552333333,0.4026,0.7016
1/1/23 9:00,0.199,0.366,0.199,0.366,0.199,0.366,0.425,0.008,0.434,0.194,0.389,0.288,0.532,0.35,0.271,0.123,0.232,0.238,0.257,0.633,0.201,0.306,0.196,0.109,0.308,0.439,0.158,0.388,0.154,0.23,0.342,0.61,0.359,0.516,0.574,0.875,0.605,0.719,0.571,0.673,0.593,0.752,0.471,0.746,0.541,0.738,0.199,0.366,0.3805,0.200166667,0.212333333,0.350833333,0.425,0.667,0.5562,0.7256
1/1/23 10:00,0.296,0.531,0.296,0.531,0.296,0.531,0.543,0.002,0.494,0.155,0.477,0.228,0.679,0.323,0.408,0.117,0.266,0.233,0.332,0.592,0.316,0.27,0.283,0.112,0.402,0.51,0.191,0.507,0.2,0.337,0.463,0.658,0.447,0.622,0.672,0.889,0.702,0.737,0.671,0.635,0.687,0.701,0.611,0.701,0.653,0.72,0.296,0.531,0.477833333,0.176333333,0.287333333,0.388,0.527333333,0.723,0.6648,0.6988
1/1/23 11:00,0.424,0.668,0.424,0.668,0.424,0.668,0.594,0,0.475,0.128,0.517,0.187,0.73,0.278,0.548,0.128,0.293,0.185,0.386,0.556,0.436,0.244,0.32,0.115,0.448,0.583,0.213,0.563,0.227,0.444,0.577,0.675,0.552,0.686,0.713,0.887,0.736,0.735,0.716,0.588,0.709,0.65,0.667,0.649,0.689,0.673,0.424,0.668,0.526166667,0.151,0.338333333,0.4175,0.614,0.749333333,0.7034,0.659
1/1/23 12:00,0.479,0.714,0.479,0.714,0.479,0.714,0.582,0,0.461,0.113,0.525,0.173,0.723,0.292,0.58,0.135,0.317,0.147,0.419,0.558,0.468,0.25,0.321,0.121,0.425,0.643,0.266,0.621,0.256,0.539,0.625,0.674,0.592,0.705,0.704,0.871,0.721,0.74,0.716,0.558,0.668,0.623,0.689,0.607,0.685,0.626,0.479,0.714,0.531333333,0.143333333,0.359166667,0.455333333,0.640333333,0.75,0.6958,0.6308
1/1/23 13:00,0.468,0.726,0.468,0.726,0.468,0.726,0.477,0,0.404,0.111,0.512,0.186,0.66,0.358,0.543,0.142,0.301,0.117,0.403,0.594,0.441,0.272,0.283,0.134,0.395,0.666,0.284,0.68,0.278,0.616,0.573,0.658,0.526,0.695,0.658,0.855,0.639,0.766,0.648,0.557,0.596,0.639,0.669,0.589,0.641,0.613,0.468,0.726,0.482833333,0.152333333,0.347333333,0.493666667,0.585666667,0.736,0.6386,0.6328
1/1/23 14:00,0.429,0.73,0.429,0.73,0.429,0.73,0.336,0,0.38,0.131,0.484,0.235,0.537,0.405,0.485,0.186,0.295,0.098,0.33,0.666,0.33,0.27,0.241,0.148,0.336,0.656,0.269,0.718,0.267,0.661,0.498,0.631,0.484,0.668,0.55,0.845,0.51,0.791,0.474,0.578,0.486,0.694,0.562,0.596,0.554,0.613,0.429,0.73,0.4195,0.175833333,0.2955,0.519833333,0.510666667,0.714666667,0.5172,0.6544
1/1/23 15:00,0.344,0.655,0.344,0.655,0.344,0.655,0.193,0,0.25,0.175,0.34,0.296,0.325,0.328,0.305,0.231,0.225,0.096,0.233,0.724,0.201,0.249,0.161,0.132,0.244,0.579,0.223,0.718,0.212,0.621,0.371,0.558,0.365,0.586,0.362,0.835,0.332,0.789,0.271,0.527,0.336,0.706,0.379,0.592,0.383,0.562,0.344,0.655,0.273,0.187666667,0.212333333,0.503833333,0.366,0.659666667,0.3402,0.6352
1/1/23 16:00,0.161,0.535,0.161,0.535,0.161,0.535,0.057,0,0.112,0.19,0.158,0.271,0.163,0.253,0.133,0.243,0.101,0.092,0.098,0.702,0.075,0.186,0.067,0.112,0.088,0.448,0.123,0.694,0.104,0.547,0.191,0.525,0.183,0.519,0.13,0.78,0.13,0.75,0.102,0.441,0.162,0.668,0.121,0.491,0.17,0.407,0.161,0.535,0.120666667,0.174833333,0.0925,0.448166667,0.168,0.608,0.137,0.5514
