name,bus,p_nom,carrier,build_year
01ACNPC_G01,01CNCEPCN,3.2,Biomass,2017
01AMBUK_U01,01AMBKLAO,37.5,Hydro,1956
01AMBUK_U02,01AMBKLAO,37.5,Hydro,1956
01AMBUK_U03,01AMBKLAO,37.5,Hydro,1956
01AMPHAW_G01,01LATRINI,12.5,Hydro,1991
01ANDA_G01,01MEXICO,72,Coal,2016
01ANGAT_A,01ANGAT,34.6,Hydro,1967
01ANGAT_M,01ANGAT,200,ROR,1986
01APEC_G01,01MEXICO,25,Coal,2006
01ARAYSOL_G01,01MEXICO,50,Solar,2022
01ARAYSOL_G02,01MEXICO,30.8,Solar,2023
01ARMSOL_G01,01CNCEPCN,7.1,Solar,2016
01BAKSIP_G01,01LATRINI,12.4,ROR,2024
01BAKUN_G01,01BAKUN,74,ROR,2000
01BALWIND_G01,01LAOAG,80,Wind,2023
01BAUANG_GS1,01BPPC,70,Diesel,1994
01BAUANG_GS2,01BPPC,70,Diesel,1994
01BAUANG_GS3,01BPPC,70,Diesel,1994
01BINENG_G01,01LATRINI,19.8,ROR,1992
01BINGA_U01,01BINGA,35,Hydro,1960
01BINGA_U02,01BINGA,35,Hydro,1960
01BINGA_U03,01BINGA,35,Hydro,1960
01BINGA_U04,01BINGA,35,Hydro,1960
01BOSUNG_G01,01LAOAG,1,Solar,2017
01BT2020_G01,01HERMOSA,13,Biomass,2015
01BT2020_G02,01HERMOSA,25,Biomass,2015
01BTNSOL_G01,01LIMAY,4.8,Solar,2017
01BTSOLEN_BAT,01LIMAY,0.5,Solar,2022
01BTSOLEN_G01,01LIMAY,3.7,Solar,2022
01BULSOL_G01,01SNRAFAEL,15,Solar,2016
01BURGOS_G01,01BURGOS,150,Wind,2014
01BURGOS_G02,01LAOAG,3.4,Solar,2015
01BURGOS_G03,01LAOAG,2.2,Solar,2015
01BUTAO_G01,01SNMANUEL,1.3,ROR,2022
01CABSOL_G01,01CBNTUAN,9.1,Solar,2016
01CAGBIO_G01,01GAMU,13.5,Biomass,2019
01CAGYSOL_G01,01TGEGARAO,115,Solar,2023
01CAPRIS_G01,01PAGUDPUD,81,Wind,2014
01CAPRIS_G02,01PAGUDPUD,50,Wind,2014
01CASECN_G01,01CASCNAN,168,ROR,2002
01CAYBSOL_G01,01CAYANGA,73.9,Solar,2023
