name,cables,bus0,bus1,s_nom,x,r
115_01BNTAY_01CURIMAO,1,01BNTAY,01CURIMAO,115,10.66925124,5.109877777
115_01BNTAY_01SNESTBN,1,01BNTAY,01SNESTBN,115,6.439970993,3.084327468
115_01CURIMAO_01LAOAG,1,01CURIMAO,01LAOAG,115,5.641781285,2.702046485
115_01LAOAG_01PASUQUIN,1,01LAOAG,01PASUQUIN,115,3.341738009,1.600475273
115_01LAOAG_01BURGOS,1,01LAOAG,01BURGOS,115,38.69184387,18.530878
115_01LAOAG_01PAGUDPUD,1,01LAOAG,01PAGUDPUD,115,10.98957893,5.263293918
230_01LAOAG_01SNESTBN,1,01LAOAG,01SNESTBN,230,7.887803158,16.35595225
230_01SNESTBN_01BAKUN,1,01SNESTBN,01BAKUN,230,6.0830265,12.61361231
230_01SNESTBN_01BCNOTAN,1,01SNESTBN,01BCNOTAN,230,5.24297503,10.87170249
230_01BCNOTAN_01BAUANG,1,01BCNOTAN,01BAUANG,230,1.400786262,2.904635518
230_01BAKUN_01BAUANG,1,01BAKUN,01BAUANG,230,3.781510817,7.841246685
230_01BAUANG_01LATRINI,2,01BAUANG,01LATRINI,230,2.405658698,4.988313984
230_01BAUANG_01BPPC,1,01BAUANG,01BPPC,230,1.271574092,2.63670438
230_01BAUANG_01BALINGUEO,1,01BAUANG,01BALINGUEO,230,5.79198731,12.01012069
230_01BPPC_01BALINGUEO,1,01BPPC,01BALINGUEO,230,4.786517678,9.925203891
230_01LATRINI_01BINGA,2,01LATRINI,01BINGA,230,0.943141389,1.955674503
230_01BINGA_01AMBKLAO,2,01BINGA,01AMBKLAO,230,0.648514753,1.344744047
230_01BINGA_01EHVNAGSAAG,2,01BINGA,01EHVNAGSAAG,230,2.96555972,6.149310803
230_01AMBKLAO_01BYOMBNG,2,01AMBKLAO,01BYOMBNG,230,3.176159161,6.586004562
230_01BYOMBNG_01SNTGO,2,01BYOMBNG,01SNTGO,230,4.321366654,8.960678308
230_01SNTGO_01MAGAT,2,01SNTGO,01MAGAT,230,1.147148184,2.378697915
230_01SNTGO_01GAMU,1,01SNTGO,01GAMU,230,3.700436906,7.673133841
230_01SNTGO_01TGEGARAO,1,01SNTGO,01TGEGARAO,230,8.212234185,17.02868435
230_01TGEGARAO_01GAMU,1,01TGEGARAO,01GAMU,230,5.155517369,10.69035246
230_01EHVNAGSAAG_01PANTABA,1,01EHVNAGSAAG,01PANTABA,230,4.512570711,9.357154281
230_01EHVNAGSAAG_01CASCNAN,2,01EHVNAGSAAG,01CASCNAN,230,5.089659157,10.55379052
230_01EHVNAGSAAG_01SNROQUE,2,01EHVNAGSAAG,01SNROQUE,230,6.91614119,14.34113819
230_01PANTABA_01CBNTUAN,1,01PANTABA,01CBNTUAN,230,3.604667278,7.474548326
500_01EHVNAGSAAG_01EHVSJOS,2,01EHVNAGSAAG,01EHVSJOS,500,3.65235125,39.11073285
500_01EHVNAGSAAG_01KDAMEHV,2,01EHVNAGSAAG,01KDAMEHV,500,1.333031004,14.27459078
230_01EHVNAGSAAG_01SNMANUEL,2,01EHVNAGSAAG,01SNMANUEL,230,0.008399387,0.01741676
230_01SNMANUEL_01CNCEPCN,2,01SNMANUEL,01CNCEPCN,230,6.116178457,12.68235538
230_01CNCEPCN_01CLARK,2,01CNCEPCN,01CLARK,230,1.866505223,3.870338762
230_01CNCEPCN_01MEXICO,2,01CNCEPCN,01MEXICO,230,3.000240751,6.221224526
230_01MEXICO_01SNRAFAEL,2,01MEXICO,01SNRAFAEL,230,1.941291394,4.025413503
230_01MEXICO_01HERMOSA,2,01MEXICO,01HERMOSA,230,0.980658616,2.033469291
230_01MEXICO_02QUEZON,1,01MEXICO,02QUEZON,230,4.357844286,9.036317417
230_01CBNTUAN_01SNRAFAEL,1,01CBNTUAN,01SNRAFAEL,230,3.715018539,7.703369953
230_01SNRAFAEL_01EHVSJOS,1,01SNRAFAEL,01EHVSJOS,230,2.036652832,4.223152608
230_01EHVSJOS_01MALOLOS,1,01EHVSJOS,01MALOLOS,230,1.986390379,4.118929637
230_01EHVSJOS_01HERMOSA,1,01EHVSJOS,01HERMOSA,230,2.635151886,5.464185346
230_01EHVSJOS_02QUEZON,3,01EHVSJOS,02QUEZON,230,1.409390362,2.922476765
230_01EHVSJOS_02DOLORES,2,01EHVSJOS,02DOLORES,230,2.359640925,4.892892677
115_01EHVSJOS_01ANGAT,2,01EHVSJOS,01ANGAT,115,2.554181878,1.223287082
115_01EHVSJOS_01ANGSJO_TP4,1,01EHVSJOS,01ANGSJO_TP4,115,3.567824549,1.708756028
115_01EHVSJOS_01ANGSJO_TP2,1,01EHVSJOS,01ANGSJO_TP2,115,3.567824549,1.708756028
115_01ANGSJO_TP4_01ANGAT,1,01ANGSJO_TP4,01ANGAT,115,3.286378716,1.57396177
115_01ANGSJO_TP2_01ANGAT,1,01ANGSJO_TP2,01ANGAT,115,3.286378716,1.57396177
115_01ANGSJO_TP4_01T_ASIA,1,01ANGSJO_TP4,01T_ASIA,115,2.147243438,1.028390023
230_01HERMOSA_01MALOLOS,1,01HERMOSA,01MALOLOS,230,0.898848855,1.863830609
230_01HERMOSA_01DUHAT,1,01HERMOSA,01DUHAT,230,2.17102493,4.501783245
230_01DUHAT_02QUEZON,1,01DUHAT,02QUEZON,230,1.232828569,2.556362627
230_01HERMOSA_01BCCPP,3,01HERMOSA,01BCCPP,230,3.134219464,6.499039451
230_01HERMOSA_01BALSIK,2,01HERMOSA,01BALSIK,230,1.207686917,2.504229525
500_01EHVSJOS_01BALSIK,1,01EHVSJOS,01BALSIK,500,1.111715284,11.9046599
500_01BALSIK_03TAYABEHV,1,01BALSIK,03TAYABEHV,500,3.613780373,38.69770158
500_01BALSIK_01MARIVELES,2,01BALSIK,01MARIVELES,500,1.344414065,14.39648483
230_01BALSIK_01OLONGAP,1,01BALSIK,01OLONGAP,230,3.335799302,6.917030383
230_01BALSIK_01SNMARCELINO,2,01BALSIK,01SNMARCELINO,230,4.414122432,9.15301438
230_01SNMARCELINO_01SBMA,1,01SNMARCELINO,01SBMA,230,1.93832197,4.01925618
230_01OLONGAP_01CAWAGO,1,01OLONGAP,01CAWAGO,230,0.516161309,1.07029924
230_01CAWAGO_01BOTOLAN,1,01CAWAGO,01BOTOLAN,230,4.529412844,9.392077709
230_01BOTOLAN_01LBRADOR,1,01BOTOLAN,01LBRADOR,230,6.652169879,13.79377385
230_01LBRADOR_01KDAMEHV,2,01LBRADOR,01KDAMEHV,230,0.454621049,0.942690889
230_01KDAMEHV_01BALINGUEO,2,01KDAMEHV,01BALINGUEO,230,2.0320532,4.213614925
230_01KDAMEHV_01CAYANGA,2,01KDAMEHV,01CAYANGA,230,0.646096632,1.339729891
230_01KDAMEHV_01MSINLOC,2,01KDAMEHV,01MSINLOC,230,4.148446274,8.602114912
230_01KDAMEHV_01SUAL,2,01KDAMEHV,01SUAL,230,1.411571316,2.926999139
230_01OLONGAP_01SBMA,1,01OLONGAP,01SBMA,230,0.308800015,0.640320023
230_01BCCPP_01LAMAO,2,01BCCPP,01LAMAO,230,1.342826728,2.784452071
230_01BCCPP_01LIMAY,2,01BCCPP,01LIMAY,230,1.238830386,2.568807846
230_01LIMAY_01BPC,2,01LIMAY,01BPC,230,6.532434511,13.54549357
230_01LAMAO_01MARIVELES,2,01LAMAO,01MARIVELES,230,0.884520462,1.83411961
500_01MARIVELES_01MPGC,2,01MARIVELES,01MPGC,500,0.261171049,2.79671653
230_02QUEZON_02DONAIMELDA,1,02QUEZON,02DONAIMELDA,230,0.391519686,0.811845474
230_02DONAIMELDA_02MANILA,1,02DONAIMELDA,02MANILA,230,0.394999412,0.819060947
230_02MANILA_02MUNTINLUPA,1,02MANILA,02MUNTINLUPA,230,1.298718424,2.69299019
230_02DOLORES_03MLAYA,2,02DOLORES,03MLAYA,230,2.393152146,4.96238071
230_02MUNTINLUPA_03BINAN,4,02MUNTINLUPA,03BINAN,230,1.040552291,2.157663324
230_02ZAPOTE_03DASMAEHV,2,02ZAPOTE,03DASMAEHV,230,1.56750989,3.250349482
500_03DASMAEHV_03ILIJAN,1,03DASMAEHV,03ILIJAN,500,1.960771808,20.99667231
230_03DASMAEHV_03AMADEO,2,03DASMAEHV,03AMADEO,230,0.977869863,2.027686602
230_03DASMAEHV_03BINAN,2,03DASMAEHV,03BINAN,230,1.09514154,2.270858232
230_03AMADEO_03CLACA,2,03AMADEO,03CLACA,230,3.080434138,6.387511537
230_03CLACA_03SALONG,1,03CLACA,03SALONG,230,0.270072769,0.56001617
