name,bus,,,,,
01AEC_L01,01MEXICO,,,,,
01AMBUK_SS,01AMBKLAO,,,,,
01AMBUK_T1L1,01AMBKLAO,,,,,
01ANGAT_SS,01ANGAT,,,,,
01ANGAT_T5L1,01ANGAT,,,,,
01BAKUN_SS,01BAKUN,,,,,
01BALNEO_L01,01BALINGUEO,,,,,
01BALNEO_L02,01BALINGUEO,,,,,
01BALNEO_SS,01BALINGUEO,,,,,
01BALSIK_SS,01BALSIK,,,,,
01BANTAY_SS,01BNTAY,,,,,
01BATAAN_SS,01LIMAY,,,,,
01BAUAN_T1L1,01BAUANG,,,,,
01BAUAN_T1L2,01BAUANG,,,,,
01BAUAN_T1L3,01BAUANG,,,,,
01BAUAN_T2L1,01BAUANG,,,,,
01BAUAN_T2L2,01BAUANG,,,,,
01BAUANG_SS,01BAUANG,,,,,
01BCNOT_SS,01BCNOTAN,,,,,
01BCNOT_T1L1,01BCNOTAN,,,,,
01BCNOT_T1L2,01BCNOTAN,,,,,
01BINGA_SS,01BINGA,,,,,
01BINGA_T1L1,01BINGA,,,,,
01BNTAY_T1L1,01BNTAY,,,,,
01BNTAY_T1L2,01BNTAY,,,,,
01BNTAY_T1L3,01BNTAY,,,,,
01BOTOL_T1L1,01BOTOLAN,,,,,
01BOTOL_T1L2,01BOTOLAN,,,,,
01BOTOLAN_SS,01BOTOLAN,,,,,
01BPC_T1L1,01BPC,,,,,
01BPC_T2L2,01BPC,,,,,
01BPPC_SS,01BPPC,,,,,
01BTPP_T3L1,01LIMAY,,,,,
01BTPP_T3L2,01LIMAY,,,,,
01BTPP_T3L3,01LIMAY,,,,,
01BTPP_T3L4,01LIMAY,,,,,
01BTPP_T3L5,01LIMAY,,,,,
01BTPP_T4L1,01LIMAY,,,,,
01BURGOS_SS,01BURGOS,,,,,
01BYOMB_DID,01BYOMBNG,,,,,
01BYOMB_SS,01BYOMBNG,,,,,
01BYOMB_T1L1,01BYOMBNG,,,,,
01BYOMB_T1L2,01BYOMBNG,,,,,
01BYOMB_T1L3,01BYOMBNG,,,,,
01CASECN_SS,01CASCNAN,,,,,
01CBN_CELCOR,01CBNTUAN,,,,,
01CBNTU_SS,01CBNTUAN,,,,,
01CBNTU_T1L1,01CBNTUAN,,,,,
01CBNTU_T1L3,01CBNTUAN,,,,,
01CBNTU_T2L1,01CBNTUAN,,,,,
01CBNTU_T2L2,01CBNTUAN,,,,,
01CLARK_L01,01CLARK,,,,,
01CLARK_L02,01CLARK,,,,,
01CLARK_L03,01CLARK,,,,,
01CLARK_L04,01CLARK,,,,,
01CLARK_SS,01CLARK,,,,,
01CLARK_T1L1,01CLARK,,,,,
01CLARK_T1L2,01CLARK,,,,,
01CLARK_T2L1,01CLARK,,,,,
01CN_TRELC1,01CNCEPCN,,,,,
01CN_TRELC2,01CNCEPCN,,,,,
01CNCEP_CAT,01CNCEPCN,,,,,
01CNCEP_DAP2,01CNCEPCN,,,,,
01CNCEP_SS,01CNCEPCN,,,,,
01CNCEP_T1L3,01CNCEPCN,,,,,
01CNCEP_TEI,01CNCEPCN,,,,,
01CRUZD_MECO,01SNRAFAEL,,,,,
01CRUZD_SS,01SNRAFAEL,,,,,
01CRUZD_T2L1,01SNRAFAEL,,,,,
01CURIM_SS,01CURIMAO,,,,,
01CURIM_T1L1,01CURIMAO,,,,,
01CURIM_T1L2,01CURIMAO,,,,,
01DUHAT_SS,01DUHAT,,,,,
01DUHAT_T1L1,01DUHAT,,,,,
01EHVSJ_SS,01EHVSJOS,,,,,
01EHVSM_SS,01EHVNAGSAAG,,,,,
01GAMU_BATL,01GAMU,,,,,
01GAMU_SS,01GAMU,,,,,
01GAMU_T1L1,01GAMU,,,,,
01GAMU_T1L2,01GAMU,,,,,
01GNPD_SS,01MARIVELES,,,,,
01HANJI_SS,01CAWAGO,,,,,
01HANJI_T1L1,01CAWAGO,,,,,
01HANJI_T2L1,01CAWAGO,,,,,
01HERMO_FBL,01HERMOSA,,,,,
01HERMO_SS,01HERMOSA,,,,,
01HERMO_T1L1,01HERMOSA,,,,,
01HERMO_T1L2,01HERMOSA,,,,,
01HERMO_T1L3,01HERMOSA,,,,,
01HERMO_T1L4,01HERMOSA,,,,,
01KDAM_SS,01KDAMEHV,,,,,
01LAMAO_SS,01LAMAO,,,,,
01LAOAG_SS,01LAOAG,,,,,
01LAOAG_T1L1,01LAOAG,,,,,
01LAOAG_T1L2,01LAOAG,,,,,
01LAOAG_T2L2,01LAOAG,,,,,
01LAOSOL_SS,01CAYANGA,,,,,
01LAT_BENECO,01LATRINI,,,,,
01LAT_PHILEX,01LATRINI,,,,,
01LATRI_SS,01LATRINI,,,,,
01LATRI_T1L1,01LATRINI,,,,,
01LATRI_T2L1,01LATRINI,,,,,
01LATRI_T2L2,01LATRINI,,,,,
01LATRI_T2L3,01LATRINI,,,,,
01LBR_CNPELC,01LBRADOR,,,,,
01LBR_DECORP,01LBRADOR,,,,,
01LBR_PNELC1,01LBRADOR,,,,,
01LBRDR_SS,01LBRADOR,,,,,
01LIMAY_SS,01BCCPP,,,,,
01MAEC_S01,01CURIMAO,,,,,
01MAGAT_SS,01MAGAT,,,,,
01MALOL_SS,01MALOLOS,,,,,
01MALOL_T1L1,01MALOLOS,,,,,
01MARVEL_AUX,01MARIVELES,,,,,
01MARVEL_SS,01MARIVELES,,,,,
01MASIWA_SS,01CBNTUAN,,,,,
01MEX_AEC,01MEXICO,,,,,
01MEX_CISP,01MEXICO,,,,,
01MEX_CLARK1,01MEXICO,,,,,
01MEX_CLARK2,01MEXICO,,,,,
01MEX_CND,01MEXICO,,,,,
01MEX_L01,01MEXICO,,,,,
01MEX_MIC,01MEXICO,,,,,
01MEX_PELCO1,01MEXICO,,,,,
01MEX_PIMP,01MEXICO,,,,,
01MEX_SFLAPC,01MEXICO,,,,,
01MEX_SKK,01MEXICO,,,,,
01MEXICO_SS,01MEXICO,,,,,
01MPGC_SS,01MPGC,,,,,
01MRVEL_T1L1,01MARIVELES,,,,,
01MSINLO_SS,01MSINLOC,,,,,
01NSNMN_L01,01EHVNAGSAAG,,,,,
01NSNMN_L02,01EHVNAGSAAG,,,,,
01NSNMN_SS,01EHVNAGSAAG,,,,,
01NSNMN_T1L1,01EHVNAGSAAG,,,,,
01NWIND_L01,01LAOAG,,,,,
01OLONG_SS,01OLONGAP,,,,,
01OLONG_T1L1,01OLONGAP,,,,,
01OLONG_T2L2,01OLONGAP,,,,,
01OLONG_T3L3,01OLONGAP,,,,,
01PAGCAP_L01,01PAGUDPUD,,,,,
01PAGUD_SS,01PAGUDPUD,,,,,
01PNTBNG_SS,01PANTABA,,,,,
01S_ENRO_SS,01SBMA,,,,,
01SE_ABRECO,01SNESTBN,,,,,
01SMC_SS,01LAMAO,,,,,
01SMC_SS2,01LAMAO,,,,,
01SMC_SS3,01LAMAO,,,,,
01SMC_SS4,01LAMAO,,,,,
01SNEST_SS,01SNESTBN,,,,,
01SNEST_T3L1,01SNESTBN,,,,,
01SNEST_T3L2,01SNESTBN,,,,,
01SNJOS_CAM,01EHVSJOS,,,,,
01SNJOS_T1L1,01ANGSJO_TP2,,,,,
01SNJOS_T1L2,01EHVSJOS,,,,,
01SNJOS_T1L3,01ANGSJO_TP4,,,,,
01SNJOSE_L01,01EHVSJOS,,,,,
01SNJOSE_SS,01EHVSJOS,,,,,
01SNM_PNELC3,01SNMANUEL,,,,,
01SNMAN_LYO,01SNMANUEL,,,,,
01SNMAN_SS,01SNMANUEL,,,,,
01SNMAN_T1L2,01SNMANUEL,,,,,
01SNMAR_SS,01SNMARCELINO,,,,,
01SNTGO_SS,01SNTGO,,,,,
01SNTGO_T1L1,01SNTGO,,,,,
01SNTGO_T1L2,01SNTGO,,,,,
01SNTGO_T1L3,01SNTGO,,,,,
01SNTGO_T2L1,01SNTGO,,,,,
01SNTGO_T2L2,01SNTGO,,,,,
01SROQUE_SS,01SNROQUE,,,,,
01SUAL_T3L1,01SUAL,,,,,
01SUBIC_T3L1,01SBMA,,,,,
01SUBIC_T3L2,01SBMA,,,,,
01T_ASI_T3L1,01T_ASIA,,,,,
01TG_CGELCO1,01TGEGARAO,,,,,
01TG_CGELCO2,01TGEGARAO,,,,,
01TG_ISELCO2,01TGEGARAO,,,,,
01TGEGA_SS,01TGEGARAO,,,,,
01TGEGA_T1L1,01TGEGARAO,,,,,
01TRASU_L01,01CNCEPCN,,,,,
02ARANE_T1L1,02DONAIMELDA,,,,,
02BALNT_T1L1,02QUEZON,,,,,
02DOLOR_T1L1,02DOLORES,,,,,
02PACO_T1L1,02MANILA,,,,,
02SUCAT_T1L1,02MUNTINLUPA,,,,,
02ZAPOT_T1L1,02ZAPOTE,,,,,
03AMADEO_T1L1,03AMADEO,,,,,
03AVION_SS,03AVION,,,,,
03BACMAN_SS,03BACMANGP,,,,,
03BAT_BTLEC2,03BATANGAS,,,,,
03BAT_LIP01,03BATANGAS,,,,,
03BAT_LIP02,03BATANGAS,,,,,
03BAT_MECO,03BATANGAS,,,,,
03BAT_MECO1,03BATANGAS,,,,,
03BAT_MECO2,03BATANGAS,,,,,
03BAT_ROS01,03BATANGAS,,,,,
03BAT_T1L1,03BATANGAS,,,,,
03BAT_T2L1,03BATANGAS,,,,,
03BATAN_SS,03BATANGAS,,,,,
03BATAN_T1L2,03BATANGAS,,,,,
03BATAN_T2L2,03BATANGAS,,,,,
03BINAN_SS,03BINAN,,,,,
03BINAN_T1L1,03BINAN,,,,,
03BOTOCA_L01,03CALIRAY,,,,,
03BOTOCA_SS,03CALIRAY,,,,,
03CALAMBA_L01,03CALAMBA,,,,,
03CALAMBA_SS,03CALAMBA,,,,,
03CALAU_SS,03CALAUAN,,,,,
03CALAU_T1L1,03CALAUAN,,,,,
03CALI_FLECO,03CALIRAY,,,,,
03CALIR_TAL1,03CALIRAY,,,,,
03CALIRY_SS,03CALIRAY,,,,,
03CALIRY_SS1,03CALIRAY,,,,,
03CLA_BCNOT,03SALONG,,,,,
03CLA_BTLEC1,03CLACA,,,,,
03CLA_STLCOR,03CLACA,,,,,
03CLA_T1L1,03CLACA,,,,,
03CLACA_SS,03CLACA,,,,,
03DAR_ALECO,03DARAGA,,,,,
03DAR_SRECO2,03DARAGA,,,,,
03DAR_STDOM,03DARAGA,,,,,
03DARAG_SS,03DARAGA,,,,,
03DARAG_T1L1,03DARAGA,,,,,
03DASMA_L01,03DASMAEHV,,,,,
03DASMA_SS,03DASMAEHV,,,,,
03EERI_L01,03EERI,,,,,
03EERI_SS,03EERI,,,,,
03GUMAC_SS,03GUMACA,,,,,
03GUMAC_T1L1,03GUMACA,,,,,
