name,bus,p_nom,carrier,build_year
01CNCEP_BAT,01CNCEPCN,50,Battery,2024
01GAMU_BAT,01GAMU,40,Battery,2019
01LAMAO_BAT,01LAMAO,50,Battery,2023
01LIMAY_BAT,01LIMAY,40,Battery,2023
01MAGAPIT_BAT,01TGEGARAO,40,Battery,2022
01MAGAT_BAT,01MAGAT,24,Battery,2024
01MSINLO_BAT,01MSINLOC,10,Battery,2018
01SNMAN_BAT,01SNMANUEL,50,Battery,2023
03ALMNOS_BAT1,03MKBAN-A,20,Battery,2022
03ALMNOS_BAT2,03MKBAN-A,20,Battery,2022
03LUMBAN_BAT,03LUMBAN,50,Battery,2024
04ORMOC_BAT,04ORMOC,40,Battery,2024
05TOLEDO_BAT,05TOLBESS,20,Battery,2023
06KABAN_BAT,06KBANBESS,20,Battery,2022
07UBAY_BAT,07UBAY,20,Battery,2023
09SANGALI_BAT,09ZAMBO,23,Battery,2024
11JASA_BAT,11JASAA,20,Battery,2024
11VILLA_BAT,11VILLA,20,Battery,2024
13MACO_BAT,13MACO,20,Battery,2023
13MALITA_BAT,13CULAM,20,Battery,2023
03KAL_G01,03SNJUAN,183,Pump Hydro,1982
03KAL_G02,03SNJUAN,183,Pump Hydro,1982
03KAL_G03,03SNJUAN,184.6,Pump Hydro,2004
03KAL_G04,03SNJUAN,185,Pump Hydro,2004
